anio,pais_id,pais_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2016,200,ARG,12,Delitos contra el estado civil,97,0
2016,200,ARG,13,Amenazas,169351,0
2016,200,ARG,14,Otros delitos contra la libertad,12165,0
2016,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),427473,0
2016,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),30268,0
2016,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,9605,0
2016,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1005,0
2016,200,ARG,19,Hurtos,272128,0
2016,200,ARG,2,Homicidios dolosos en grado de tentativa,1657,1779
2016,200,ARG,20,Tentativas de hurto,10392,0
2016,200,ARG,21,Otros delitos contra la propiedad,101213,0
2016,200,ARG,22,Delitos contra la seguridad pública,15761,0
2016,200,ARG,23,Delitos contra el orden público,9248,0
2016,200,ARG,24,Delitos contra la seguridad de la nación,83,0
2016,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,428,0
2016,200,ARG,26,Delitos contra la administración pública,37259,0
2016,200,ARG,27,Delitos contra la fe pública,6921,0
2016,200,ARG,28,Ley 23.737 (estupefacientes),37559,0
2016,200,ARG,29,Otros delitos previstos en leyes especiales,36065,0
2016,200,ARG,3,Muertes en Accidentes Viales,3914,4252
2016,200,ARG,31,Suicidios (consumados),2990,
2016,200,ARG,4,Homicidios culposos por otros hechos,463,493
2016,200,ARG,5,Lesiones dolosas,142986,149077
2016,200,ARG,6,Lesiones culposas en Accidentes Viales,92824,104667
2016,200,ARG,7,Lesiones culposas por otros hechos,13146,13728
2016,200,ARG,8,Otros delitos contra las personas,55010,55803
2016,200,ARG,9,Delitos contra el honor,627,637
2017,200,ARG,1,Homicidios dolosos,2226,2314
2017,200,ARG,10,Violaciones,3723,3926
2017,200,ARG,11,Otros delitos contra la integridad sexual,10552,11286
2017,200,ARG,12,Delitos contra el estado civil,91,0
2017,200,ARG,13,Amenazas,177285,0
2017,200,ARG,14_1,Trata de personas simple,194,0
2017,200,ARG,14_2,Trata de personas agravado,15,0
2017,200,ARG,14_3,Otros delitos contra la libertad,11174,0
2017,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),395629,0
2017,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29100,0
2017,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,9619,0
2017,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1168,0
2017,200,ARG,19,Hurtos,254418,0
2017,200,ARG,2,Homicidios dolosos en grado de tentativa,1530,1711
2017,200,ARG,20,Tentativas de hurto,10214,0
2017,200,ARG,21,Otros delitos contra la propiedad,103161,0
2017,200,ARG,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,136,0
2017,200,ARG,22_2,Tenencia ilegal de armas de fuego,3314,0
2017,200,ARG,22_3,Portación ilegal de armas de fuego,2086,0
2017,200,ARG,22_4,Acopio y fabricación ilegal de armas piezas y municiones,73,0
2017,200,ARG,22_5,Entrega y comercialización ilegal de armas de fuego,4,0
2017,200,ARG,22_6,Omisión adulteración y supresión de marcaje,84,0
2017,200,ARG,22_7,Otros delitos contra la seguridad pública,23776,0
2017,200,ARG,23,Delitos contra el orden público,9112,0
2017,200,ARG,24,Delitos contra la seguridad de la nación,51,0
2017,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,637,0
2017,200,ARG,26,Delitos contra la administración pública,42865,0
2017,200,ARG,27,Delitos contra la fe pública,9326,0
2017,200,ARG,28_1,Siembra y producción de estupefacientes,273,0
2017,200,ARG,28_10,Otros delitos previstos en la ley 23.737,11271,0
2017,200,ARG,28_2,Comercialización y entrega de estupefacientes,4513,0
2017,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,263,0
2017,200,ARG,28_4,Desvío de Importación de estupefacientes,45,0
2017,200,ARG,28_5,Organización y financiación de estupefacientes,97,0
2017,200,ARG,28_6,Tenencia simple de estupefacientes,7965,0
2017,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,21530,0
2017,200,ARG,28_8,Confabulación de estupefacientes,86,0
2017,200,ARG,28_9,Contrabando de estupefacientes,1315,0
2017,200,ARG,29_1,Ley de residuos peligrosos,132,0
2017,200,ARG,29_2,Ley de fauna,757,0
2017,200,ARG,29_3,Delitos migratorios,218,0
2017,200,ARG,29_4,Obstrucción del código aduanero,487,0
2017,200,ARG,29_5,Contrabando Simple,6825,0
2017,200,ARG,29_6,Contrabando Agravado,302,0
2017,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,6,0
2017,200,ARG,29_8,Otros delitos previstos en leyes especiales,29685,0
2017,200,ARG,3,Muertes en Accidentes Viales,4193,4730
2017,200,ARG,31,Suicidios (consumados),3279,3284
2017,200,ARG,32,Delitos contra el orden económico y financiero,783,0
2017,200,ARG,4,Homicidios culposos por otros hechos,573,642
2017,200,ARG,5,Lesiones dolosas,142122,160040
2017,200,ARG,6,Lesiones culposas en Accidentes Viales,97374,112398
2017,200,ARG,7,Lesiones culposas por otros hechos,7774,8222
2017,200,ARG,8,Otros delitos contra las personas,53283,54153
2017,200,ARG,9,Delitos contra el honor,469,472
2018,200,ARG,1,Homicidios dolosos,2285,2387
2018,200,ARG,10,Violaciones,4141,4266
2018,200,ARG,11,Otros delitos contra la integridad sexual,12156,12729
2018,200,ARG,12,Delitos contra el estado civil,181,0
2018,200,ARG,13,Amenazas,174612,0
2018,200,ARG,14_1,Trata de personas simple,192,0
2018,200,ARG,14_2,Trata de personas agravado,24,0
2018,200,ARG,14_3,Otros delitos contra la libertad,10830,0
2018,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),416329,0
2018,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29850,0
2018,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,8916,0
2018,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1310,0
2018,200,ARG,19,Hurtos,277292,0
2018,200,ARG,2,Homicidios dolosos en grado de tentativa,1462,1598
2018,200,ARG,20,Tentativas de hurto,11832,0
2018,200,ARG,21,Otros delitos contra la propiedad,107648,0
2018,200,ARG,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,152,0
2018,200,ARG,22_2,Tenencia ilegal de armas de fuego,3003,0
2018,200,ARG,22_3,Portación ilegal de armas de fuego,1844,0
2018,200,ARG,22_4,Acopio y fabricación ilegal de armas piezas y municiones,47,0
